iter	RMSE
0	0.710476056
1	0.7056477196
2	0.7014772288
3	0.6967543918
4	0.6927109171
5	0.6893110041
6	0.6866473761
7	0.6837656022
8	0.6809967462
9	0.6786641268
10	0.6761205392
11	0.6737504155
12	0.6713911057
13	0.6695843043
14	0.667702837
15	0.6657738951
16	0.6645498488
17	0.6629355034
18	0.6614330232
19	0.6600972243
20	0.6589550469
21	0.6576595232
22	0.6565209002
23	0.6553337697
24	0.6541528135
25	0.653178969
26	0.6521559946
27	0.6512919296
28	0.6504023628
29	0.6496443091
30	0.6487026032
31	0.6475917889
32	0.6467420734
33	0.645905623
34	0.6450760086
35	0.6443327961
36	0.6435244243
37	0.6426667424
38	0.6417945222
39	0.6411178642
40	0.6403449903
41	0.639543108
42	0.6386846313
43	0.6380183334
44	0.6374383088
45	0.6368652369
46	0.6362706325
47	0.6357255847
48	0.6351404127
49	0.6344323615
50	0.6337874483
51	0.6332239796
52	0.6327693505
53	0.6322682088
54	0.6316658338
55	0.6310847249
56	0.6304861544
57	0.6300599168
58	0.6294651667
59	0.6290235316
60	0.6283611441
61	0.6277553244
62	0.6272282267
63	0.6267029249
64	0.6262664971
65	0.6259694623
66	0.6254651698
67	0.6250889588
68	0.6245719872
69	0.6241358415
70	0.6236959813
71	0.6233401528
72	0.6230044385
73	0.6226280929
74	0.6221653802
75	0.6217643789
76	0.6214147
77	0.6209809769
78	0.6204633845
79	0.6199658749
80	0.6196274193
81	0.6191593331
82	0.6187428291
83	0.6182828217
84	0.6179230223
85	0.6175523348
86	0.6171694357
87	0.6167743451
88	0.6163543787
89	0.6159754339
90	0.6155452916
91	0.6151520404
92	0.6147890558
93	0.6144492095
94	0.6140301653
95	0.6137714091
96	0.613438386
97	0.6130911691
98	0.6128073447
99	0.6125097909
100	0.6120729021
101	0.6117543249
102	0.6113987697
103	0.6110753704
104	0.6106978491
105	0.6103933985
106	0.6100477074
107	0.6097366221
108	0.609437703
109	0.6091152826
110	0.6088831526
111	0.6085492798
112	0.6081609725
113	0.6079032444
114	0.6075923625
115	0.607234466
116	0.606911423
117	0.6066482171
118	0.6062760218
119	0.6059774207
120	0.6056732387
121	0.6054247281
122	0.6051233293
123	0.6048233692
124	0.6044992813
125	0.6042086423
126	0.6038465093
127	0.6035659552
128	0.6033890497
129	0.6031117593
130	0.6027928631
131	0.6025017453
132	0.6021521977
133	0.6018643609
134	0.601595565
135	0.6012959176
136	0.600993335
137	0.6006863278
138	0.6003778272
139	0.6000597401
140	0.5997672053
141	0.5993959542
142	0.5991267024
143	0.5988500556
144	0.5985267085
145	0.5982320848
146	0.5979621824
147	0.5976609426
148	0.5973979912
149	0.5971426004
150	0.5968788422
151	0.5966269927
152	0.596336192
153	0.5960879235
154	0.5957973063
155	0.5955293851
156	0.5952499513
157	0.5949605215
158	0.5946561635
159	0.594363299
160	0.5941089975
161	0.5937748976
162	0.5935016268
163	0.5931891755
164	0.5928845466
165	0.5925326567
166	0.5922962303
167	0.5919834166
168	0.5917236536
169	0.591444627
170	0.5911639147
171	0.5908287717
172	0.5905474061
173	0.5903014812
174	0.5899871294
175	0.5897443612
176	0.5894208226
177	0.5891247509
178	0.5888261666
179	0.5885305176
180	0.588277915
181	0.5879973657
182	0.5877202851
183	0.5873830217
184	0.5871342247
185	0.5868756031
186	0.5866162612
187	0.5863816975
188	0.586095682
189	0.5858434073
190	0.5856230628
191	0.5853894175
192	0.5851042914
193	0.5848825791
194	0.5845762869
195	0.5842904645
196	0.5840538515
197	0.5838104313
198	0.5835589663
199	0.5833792856
200	0.583170898
201	0.5828200487
202	0.5825694475
203	0.5822296285
204	0.5819652716
205	0.5817310964
206	0.5814648992
207	0.5812139326
208	0.5809459709
209	0.580670681
210	0.5803441676
211	0.5800929698
212	0.5798534398
213	0.5796622267
214	0.5794231305
215	0.5792370896
216	0.578916866
217	0.5785565088
218	0.5784069556
219	0.5781102882
220	0.5778109933
221	0.5775322733
222	0.5772705361
223	0.5770451717
224	0.5768564265
225	0.5766200596
226	0.5763822607
227	0.5761965891
228	0.5759474419
229	0.5756720462
230	0.5754264397
231	0.5751694948
232	0.574926583
233	0.5746848395
234	0.5744616035
235	0.5742002821
236	0.5739791357
237	0.573734565
238	0.5734931806
239	0.5732170788
240	0.5730459181
241	0.5728012833
242	0.5725661128
243	0.5723492209
244	0.5720377443
245	0.5717772985
246	0.5715282798
247	0.5713206134
248	0.5711266001
249	0.570947354
250	0.5707859387
251	0.570595789
252	0.5703973417
253	0.5701739559
254	0.5700287246
255	0.5698042095
256	0.5695453809
257	0.5693836004
258	0.5691504637
259	0.5688683578
260	0.5687213037
261	0.5684915617
262	0.5683457067
263	0.5681338654
264	0.5678971245
265	0.5676330455
266	0.5673767924
267	0.5671657978
268	0.5669487531
269	0.5667381223
270	0.5666069513
271	0.5663508763
272	0.5660806536
273	0.565914593
274	0.5657311232
275	0.5655347321
276	0.5653234926
277	0.5651479734
278	0.5649549419
279	0.5648038996
280	0.5645786224
281	0.5643712023
282	0.5641806846
283	0.5639817236
284	0.5637915819
285	0.5636029971
286	0.5634769011
287	0.5632275472
288	0.5630363235
289	0.5628704776
290	0.5627083727
291	0.5625196916
292	0.5622949909
293	0.5621102997
294	0.561878524
295	0.5617033938
296	0.5615210303
297	0.5613681794
298	0.5611374067
299	0.5610125152
300	0.5608084706
301	0.5606113604
302	0.5603983168
303	0.560240671
304	0.5601034321
305	0.5598839209
306	0.5596537496
307	0.5595358649
308	0.5593947784
309	0.5592057589
310	0.5590195552
311	0.5588944803
312	0.5587401003
313	0.5584960629
314	0.5582982389
315	0.558071919
316	0.5579075757
317	0.557765731
318	0.5575590341
319	0.5574286165
320	0.5572160073
321	0.5570240069
322	0.5567862648
323	0.5566394222
324	0.5564283191
325	0.5562644339
326	0.5560956218
327	0.55598425
328	0.5558157748
329	0.5556903006
330	0.5554710388
331	0.5553413398
332	0.5551309436
333	0.5549258652
334	0.5547393163
335	0.5545648523
336	0.554378319
337	0.554220816
338	0.5541120839
339	0.5539105496
340	0.5537823804
341	0.5536419087
342	0.553459112
343	0.5533192806
344	0.553156976
345	0.5530580261
346	0.552859883
347	0.5526732678
348	0.5525682795
349	0.5524307749
350	0.552236143
351	0.5521313896
352	0.5519477402
353	0.5517267123
354	0.5515367419
355	0.5514368957
356	0.5512611159
357	0.551090171
358	0.5509845364
359	0.5508509856
360	0.5506915909
361	0.5505329067
362	0.5503896032
363	0.550239013
364	0.5501395617
365	0.5499549213
366	0.5498282946
367	0.5497074377
368	0.5494935258
369	0.5492855079
370	0.5491944835
371	0.5491091598
372	0.5489329689
373	0.5487850806
374	0.5486223304
375	0.5484305219
376	0.5483551613
377	0.5481879636
378	0.5480368916
379	0.5478674038
380	0.5476830555
381	0.5475433538
382	0.5474291039
383	0.5472701811
384	0.547121243
385	0.5469509829
386	0.5467271179
387	0.546620412
388	0.5464892399
389	0.5463927164
390	0.546204611
391	0.5459981205
392	0.5459035412
393	0.5457520413
394	0.5456537001
395	0.5455448547
396	0.5454048446
397	0.5452460017
398	0.5450515166
399	0.5448698583
400	0.5446526143
401	0.5444811742
402	0.5443303142
403	0.5441970747
404	0.5440577885
405	0.5438922873
406	0.5437862886
407	0.5436043984
408	0.5434463839
409	0.5432868347
410	0.543137673
411	0.5429860392
412	0.5428694341
413	0.5427657125
414	0.5426283072
415	0.5424590159
416	0.5423189837
417	0.5421756468
418	0.5420514588
419	0.5419052824
420	0.5418156235
421	0.5416510731
422	0.5415565138
423	0.5414437307
424	0.5413508426
425	0.5412620919
426	0.5411230725
427	0.5409267896
428	0.5407596745
429	0.5406048885
430	0.5405265872
431	0.5403790174
432	0.5402110057
433	0.5400243503
434	0.5398823646
435	0.539718848
436	0.5395543008
437	0.5393738058
438	0.5392274382
439	0.5390845297
440	0.5389556612
441	0.5388001452
442	0.5387014397
443	0.538536867
444	0.5383942671
445	0.5382463954
446	0.5380855567
447	0.537943532
448	0.5377979146
449	0.5376770006
450	0.5375217678
451	0.5373569542
452	0.5372595622
453	0.5371211934
454	0.5369425783
455	0.5368574161
456	0.5367121087
457	0.5365830687
458	0.5364324011
459	0.5362975108
460	0.5362174605
461	0.536095123
462	0.5360103856
463	0.5358683753
464	0.5357198497
465	0.5355852763
466	0.5354187807
467	0.5352744065
468	0.5351376179
