iter	Passed	Remaining
0	11	11985
1	21	10639
2	30	10180
3	40	9963
4	49	9771
5	58	9675
6	67	9586
7	76	9512
8	86	9491
9	95	9473
10	104	9436
11	113	9375
12	123	9344
13	132	9318
14	141	9295
15	150	9275
16	159	9249
17	169	9221
18	178	9203
19	187	9179
20	196	9162
21	205	9143
22	214	9120
23	223	9101
24	232	9072
25	241	9046
26	250	9034
27	259	9018
28	269	9011
29	278	8990
30	286	8968
31	295	8951
32	305	8938
33	314	8930
34	323	8916
35	332	8907
36	341	8889
37	350	8875
38	359	8863
39	368	8854
40	378	8852
41	387	8846
42	397	8849
43	406	8834
44	416	8832
45	425	8831
46	435	8826
47	445	8827
48	454	8820
49	464	8820
50	473	8819
51	483	8808
52	492	8794
53	501	8779
54	510	8764
55	519	8754
56	528	8739
57	537	8732
58	546	8718
59	555	8704
60	564	8687
61	573	8675
62	582	8661
63	591	8648
64	601	8645
65	610	8640
66	620	8634
67	628	8619
68	637	8604
69	646	8592
70	655	8579
71	664	8567
72	673	8551
73	682	8540
74	691	8528
75	700	8515
76	709	8503
77	718	8489
78	727	8483
79	736	8473
80	745	8461
81	754	8448
82	763	8437
83	773	8431
84	782	8418
85	791	8407
86	799	8393
87	808	8382
88	817	8369
89	826	8358
90	835	8350
91	844	8338
92	853	8326
93	862	8315
94	871	8306
95	881	8296
96	889	8284
97	898	8273
98	907	8260
99	916	8251
100	926	8244
101	935	8238
102	944	8228
103	953	8216
104	962	8205
105	971	8192
106	980	8184
107	989	8171
108	998	8160
109	1007	8148
110	1016	8139
111	1025	8127
112	1034	8118
113	1043	8106
114	1052	8095
115	1060	8085
116	1070	8076
117	1078	8064
118	1087	8054
119	1097	8045
120	1107	8047
121	1117	8042
122	1127	8038
123	1136	8028
124	1145	8017
125	1155	8011
126	1163	8001
127	1172	7987
128	1181	7980
129	1191	7971
130	1200	7962
131	1209	7952
132	1218	7945
133	1228	7937
134	1237	7926
135	1245	7915
136	1255	7907
137	1264	7895
138	1272	7884
139	1281	7873
140	1290	7863
141	1299	7854
142	1308	7843
143	1317	7831
144	1326	7819
145	1335	7808
146	1343	7798
147	1353	7789
148	1361	7777
149	1370	7766
150	1379	7754
151	1387	7743
152	1397	7734
153	1406	7725
154	1415	7719
155	1424	7708
156	1433	7697
157	1442	7686
158	1451	7675
159	1459	7664
160	1468	7653
161	1477	7643
162	1486	7633
163	1495	7622
164	1504	7612
165	1513	7603
166	1522	7592
167	1531	7582
168	1539	7572
169	1548	7561
170	1557	7552
171	1566	7543
172	1575	7533
173	1584	7522
174	1593	7512
175	1602	7502
176	1611	7493
177	1620	7482
178	1629	7471
179	1638	7464
180	1647	7456
181	1657	7447
182	1666	7440
183	1675	7430
184	1684	7420
185	1693	7410
186	1702	7402
187	1711	7392
188	1720	7383
189	1729	7374
190	1738	7364
191	1747	7353
192	1756	7344
193	1765	7335
194	1774	7326
195	1783	7317
196	1792	7307
197	1801	7297
198	1810	7287
199	1819	7277
200	1828	7267
201	1837	7258
202	1846	7248
203	1855	7238
204	1863	7228
205	1872	7218
206	1881	7208
207	1890	7198
208	1899	7188
209	1908	7178
210	1917	7169
211	1925	7158
212	1935	7149
213	1943	7139
214	1953	7131
215	1961	7120
216	1970	7111
217	1979	7102
218	1988	7092
219	1998	7083
220	2007	7075
221	2016	7066
222	2025	7056
223	2034	7047
224	2043	7038
225	2052	7028
226	2061	7019
227	2070	7009
228	2079	6999
229	2087	6990
230	2096	6980
231	2106	6973
232	2115	6964
233	2124	6955
234	2133	6945
235	2142	6936
236	2151	6926
237	2160	6917
238	2169	6907
239	2178	6898
240	2187	6889
241	2196	6880
242	2205	6870
243	2214	6860
244	2223	6850
245	2231	6840
246	2240	6830
247	2249	6821
248	2258	6812
249	2267	6802
250	2276	6792
251	2285	6783
252	2294	6774
253	2303	6765
254	2312	6756
255	2321	6747
256	2330	6737
257	2339	6728
258	2348	6718
259	2357	6709
260	2367	6702
261	2376	6694
262	2386	6686
263	2395	6677
264	2404	6670
265	2414	6662
266	2423	6653
267	2432	6643
268	2441	6633
269	2450	6624
270	2458	6614
271	2468	6605
272	2477	6597
273	2487	6589
274	2496	6581
275	2505	6573
276	2514	6564
277	2524	6555
278	2533	6547
279	2542	6538
280	2551	6529
281	2560	6519
282	2569	6509
283	2578	6500
284	2587	6490
285	2596	6481
286	2604	6471
287	2613	6461
288	2622	6452
289	2632	6444
290	2641	6435
291	2650	6426
292	2659	6417
293	2668	6408
294	2678	6400
295	2687	6390
296	2696	6381
297	2704	6372
298	2713	6362
299	2722	6352
300	2731	6343
301	2740	6334
302	2749	6325
303	2758	6316
304	2767	6306
305	2776	6297
306	2785	6288
